#Name	MOD_ID	Description	Monoisotopic mass	Site	MOD	UnimodID	PSI-MS Name	Interim name	Description	Monoisotopic mass	Average mass	Composition
lys-2H4	180	heavy lysine - 2H4	4.03	K	-	481	Label:2H(4)	Lys4	"4,4,5,5-D4 Lysine"	4.025107	4.0246	H(-4) 2H(4)
meesterd	69	methyl ester of D	14.02	D	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
meestere	70	methyl ester of E (duplicate of 17)	14.02	E	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
meesters	71	methyl ester of S	14.02	S	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
meestery	72	methyl ester of Y	14.02	Y	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
methylc	73	methyl C	14.02	C	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
methyld	16	methylation of D	14.02	D	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
methyle	17	methylation of E	14.02	E	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
methylh	74	methyl H	14.02	H	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
methylk	0	methylation of K	14.02	K	METH_core	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
methyln	75	methyl N	14.02	N	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
methylq	14	methylation of Q	14.02	Q	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
methylr	77	methyl R	14.02	R	METH_core	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
methythiold	13	beta methythiolation of D	45.99	D	-	39	Methylthio	b-methylthiol	Beta-methylthiolation	45.987721	46.0916	H(2) C S
mmts	179	MMTS on C	45.99	C	-	39	Methylthio	b-methylthiol	Beta-methylthiolation	45.987721	46.0916	H(2) C S
mod189	189	CHD2-di-methylation of K	32.06	K	-	199	Dimethyl:2H(4)	CHD2	DiMethyl-CHD2	32.056407	32.0778	2H(4) C(2)
mod190	190	CHD2-di-methylation of peptide n-term	32.06	[	-	199	Dimethyl:2H(4)	CHD2	DiMethyl-CHD2	32.056407	32.0778	2H(4) C(2)
mod192	192	phosphorylation of H	79.97	H	-	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
mod193	193	oxidation of C	15.99	C	-	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
mod194	194	oxidation of Y (duplicate of 64)	15.99	Y	-	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
mod196	196	deamidation of N	0.98	N	DEAM_N	7	Deamidated	Deamidation	Deamidation	0.984016	0.9848	H(-1) N(-1) O
mod197	197	trideuteration of L (SILAC)	3.02	L	-	262	Label:2H(3)	D3_Label	Trideuteration	3.01883	3.0185	H(-3) 2H(3)
mod206	206	selenocysteine	47.94	C	-	162	Delta:S(-1)Se(1)	SeMet	Selenium replaces sulfur	47.944449	46.895	S(-1) Se
nipcam	84	NIPCAM	99.07	C	-	17	NIPCAM	NIPCAM	N-isopropylcarboxamidomethyl	99.068414	99.1311	H(9) C(5) N O
nitrow	85	oxidation of W to nitro	44.99	W	-	354	Nitro	Nitro	Oxidation to nitro	44.985078	44.9976	H(-1) N O(2)
nitroy	86	oxidation of Y to nitro	44.99	Y	-	354	Nitro	Nitro	Oxidation to nitro	44.985078	44.9976	H(-1) N O(2)
ntermacetyl	10	acetylation of protein n-term	42.01	[	ACET_nterm	1	Acetyl	Acetyl	Acetylation	42.010565	42.0367	H(2) C(2) O
ntermpepdimethyl	38	di-methylation of peptide n-term	28.03	[	-	36	Dimethyl	di-Methylation	di-Methylation	28.0313	28.0532	H(4) C(2)
ntermpepformyl	44	formylation of peptide n-term	27.99	[	FORM	122	Formyl	Formyl	Formylation	27.994915	28.0101	C O
ntermpepmethyl	76	methylation of peptide n-term	14.02	[	METH_nterm	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
ntermpeppropionyl	103	propionyl light on peptide n-term	56.03	[	-	58	Propionyl	Propionyl_light	Propionate labeling reagent light form (N-term & K)	56.026215	56.0633	H(4) C(3) O
ntermpeppropionylheavy	105	propionyl heavy peptide n-term	59.04	[	-	59	Propionyl:13C(3)	Propionyl_heavy	"Propionate labeling reagent heavy form (+3amu), N-term & K"	59.036279	59.0412	H(4) 13C(3) O
ntermpeppyrocmc	108	pyro-cmC	-17.03	C	PYRR	385	Ammonia-loss	N-oxobutanoic	Loss of ammonia	-17.026549	-17.0305	H(-3) N(-1)
ntermpeptioacetyl	41	gammathiopropionylation of peptide n-term	88	[	-	126	Xlink:DTSSPN-term88]	DSP	Cleaved and reduced DSP/DTSSP crosslinker	87.998285	88.1283	H(4) C(3) O S
oxy18	139	PNGasF in O18 water	2.99	N	-	366	Deamidated:18O(1)	Deamidation_O18	Deamidation in presence of O18	2.988261	2.9845	H(-1) N(-1) 18O
oxyh	89	oxidation of H	15.99	H	-	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
oxym	1	oxidation of M	15.99	M	Oxidation_M	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
oxyw	90	oxidation of W	15.99	W	-	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
phef	46	fluorophenylalanine	17.99	F	-	127	Fluoro	Fphe	fluorination	17.990578	17.9905	H(-1) F
phosphoetdlosss	134	phosphorylation of S with ETD loss	79.97	S	-	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
phosphoetdlosst	135	phosphorylation of T with ETD loss	79.97	T	-	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
phospholosss	96	phosphorylation of S with prompt loss	-18.01	S	-	23	Dehydrated	Phospho+PL	Dehydration	-18.010565	-18.0153	H(-2) O(-1)
phospholosst	97	phosphorylation of T with prompt loss	-18.01	T	-	23	Dehydrated	Phospho+PL	Dehydration	-18.010565	-18.0153	H(-2) O(-1)
phospholossy	98	phosphorylation with prompt loss on Y	-18.01	Y	-	23	Dehydrated	Phospho+PL	Dehydration	-18.010565	-18.0153	H(-2) O(-1)
phosphoneutrallossc	99	phosphorylation with neutral loss on C	79.97	C	-	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
phosphoneutrallossd	100	phosphorylation with neutral loss on D	79.97	D	-	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
phosphoneutrallossh	101	phosphorylation with neutral loss on H	79.97	H	-	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
phosphoneutrallosss	132	phosphorylation with neutral loss on S	79.97	S	-	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
phosphoneutrallosst	133	phosphorylation with neutral loss on T	79.97	T	-	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
phosphorylations	6	phosphorylation of S	79.97	S	PHOS_ST	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
phosphorylationt	7	phosphorylation of T	79.97	T	PHOS_ST	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
phosphorylationy	8	phosphorylation of Y	79.97	Y	PHOS_STY	21	Phospho	Phospho	Phosphorylation	79.966331	79.9799	H O(3) P
propionamidec	5	propionamide C	71.04	C	Cys_PAM	24	Propionamide	Propionamide	Acrylamide adduct	71.037114	71.0779	H(5) C(3) N O
propionylheavyk	104	propionyl heavy K	59.04	K	-	59	Propionyl:13C(3)	Propionyl_heavy	"Propionate labeling reagent heavy form (+3amu), N-term & K"	59.036279	59.0412	H(4) 13C(3) O
propionylk	102	propionyl light K	56.03	K	-	58	Propionyl	Propionyl_light	Propionate labeling reagent light form (N-term & K)	56.026215	56.0633	H(4) C(3) O
pyroglutamicp	111	oxidation of P to pyroglutamic acid	13.98	P	-	359	Pro->pyro-Glu	Pyroglutamic	proline oxidation to pyroglutamic acid	13.979265	13.9835	H(-2) O
semetm	113	SeMet	47.94	M	-	162	Delta:S(-1)Se(1)	SeMet	Selenium replaces sulfur	47.944449	46.895	S(-1) Se
spyridylethylc	112	s-pyridylethylation of C	105.06	C	Cys_PE	31	Pyridylethyl	S-pyridylethyl	S-pyridylethylation	105.057849	105.1372	H(7) C(7) N
sulfationy	114	sulfation of Y	79.96	Y	-	40	Sulfo	Sulfation	O-Sulfonation	79.956815	80.0632	O(3) S
sulfinicacid	162	oxidation of C to sulfinic acid	31.99	C	-	425	Dioxidation	dihydroxy	dihydroxy	31.989829	31.9988	O(2)
suphonem	115	sulphone of M	31.99	M	-	425	Dioxidation	dihydroxy	dihydroxy	31.989829	31.9988	O(2)
thioacetylk	40	gammathiopropionylation of K	88	K	-	126	Xlink:DTSSP[88]	DSP	Cleaved and reduced DSP/DTSSP crosslinker	87.998285	88.1283	H(4) C(3) O S
trideuteromethyld	19	tri-deuteromethylation of D	17.03	D	-	298	Methyl:2H(3)	D3-Me-ester	deuterated methyl ester	17.03448	17.0451	H(-1) 2H(3) C
trideuteromethyle	20	tri-deuteromethylation of E	17.03	E	-	298	Methyl:2H(3)	D3-Me-ester	deuterated methyl ester	17.03448	17.0451	H(-1) 2H(3) C
trimethylationr	117	tri-methylation of R	42.05	R	-	37	Trimethyl	tri-Methylation	tri-Methylation	42.04695	42.0797	H(6) C(3)
trimethylk	15	tri-methylation of K	42.05	K	-	37	Trimethyl	tri-Methylation	tri-Methylation	42.04695	42.0797	H(6) C(3)
twoamino3oxobutanoicacid	23	2-amino-3-oxo-butanoic acid T	-2.02	T	-	401	Didehydro	didehydro	2-amino-3-oxo-butanoic_acid	-2.01565	-2.0159	H(-2)
iTRAQ8plex	730	Representative mass and accurate mass for 113, 114, 116 & 117	304.20536	N-term	-	730	iTRAQ	iTRAQ8plex	Representative mass and accurate mass for 113, 114, 116 & 117	304.20536	304.2054	H(24) C(7) 13C(7) N(3) 15N O(3)
